2014-10-08,1
2014-10-09,1
2014-10-10,1
2014-10-11,1
2014-10-12,1
2014-10-13,1
2014-10-14,2
2014-10-15,2
2014-10-16,2
2014-10-17,2
2014-10-18,2
2014-10-19,2
2014-10-20,2
2014-10-21,3
2014-10-22,3
2014-10-23,3
2014-10-24,3
2014-10-25,3
2014-10-26,3
2014-10-27,3
2014-10-28,4
2014-10-29,4
2014-10-30,4
2014-10-31,4
2014-11-01,4
2014-11-02,4
2014-11-03,4
2014-11-04,5
2014-11-05,5
2014-11-06,5
2014-11-07,5
2014-11-08,5
2014-11-09,5
2014-11-10,5
2014-11-11,6
2014-11-12,6
2014-11-13,6
2014-11-14,6
2014-11-15,6
2014-11-16,6
2014-11-17,6
2014-11-18,7
2014-11-19,7
2014-11-20,7
2014-11-21,7
2014-11-22,7
2014-11-23,7
2014-11-24,7
2014-11-25,8
2014-11-26,8
2014-11-27,8
2014-11-28,8
2014-11-29,8
2014-11-30,8
2014-12-01,8
2014-12-02,9
2014-12-03,9
2014-12-04,9
2014-12-05,9
2014-12-06,9
2014-12-07,9
2014-12-08,9
2014-12-09,10
2014-12-10,10
2014-12-11,10
2014-12-12,10
2014-12-13,10
2014-12-14,10
2014-12-15,10
2014-12-16,11
2014-12-17,11
2014-12-18,11
2014-12-19,11
2014-12-20,11
2014-12-21,11
2014-12-22,11
2014-12-23,12
2014-12-24,12
2014-12-25,12
2014-12-26,12
2014-12-27,12
2014-12-28,12
2014-12-29,12
2014-12-30,13
2014-12-31,13
2015-01-01,13
2015-01-02,13
2015-01-03,13
2015-01-04,13
2015-01-05,13
2015-01-06,14
2015-01-07,14
2015-01-08,14
2015-01-09,14
2015-01-10,14
2015-01-11,14
2015-01-12,14
2015-01-13,15
2015-01-14,15
2015-01-15,15
2015-01-16,15
2015-01-17,15
2015-01-18,15
2015-01-19,15
2015-01-20,16
2015-01-21,16
2015-01-22,16
2015-01-23,16
2015-01-24,16
2015-01-25,16
2015-01-26,16
2015-01-27,17
2015-01-28,17
2015-01-29,17
2015-01-30,17
2015-01-31,17
2015-02-01,17
2015-02-02,17
2015-02-03,18
2015-02-04,18
2015-02-05,18
2015-02-06,18
2015-02-07,18
2015-02-08,18
2015-02-09,18
2015-02-10,19
2015-02-11,19
2015-02-12,19
2015-02-13,19
2015-02-14,19
2015-02-15,19
2015-02-16,19
2015-02-17,20
2015-02-18,20
2015-02-19,20
2015-02-20,20
2015-02-21,20
2015-02-22,20
2015-02-23,20
2015-02-24,21
2015-02-25,21
2015-02-26,21
2015-02-27,21
2015-02-28,21
2015-03-01,21
2015-03-02,21
2015-03-03,22
2015-03-04,22
2015-03-05,22
2015-03-06,22
2015-03-07,22
2015-03-08,22
2015-03-09,22
2015-03-10,23
2015-03-11,23
2015-03-12,23
2015-03-13,23
2015-03-14,23
2015-03-15,23
2015-03-16,23
2015-03-17,24
2015-03-18,24
2015-03-19,24
2015-03-20,24
2015-03-21,24
2015-03-22,24
2015-03-23,24
2015-03-24,25
2015-03-25,25
2015-03-26,25
2015-03-27,25
2015-03-28,25
2015-03-29,25
2015-03-30,25
2015-03-31,25
2015-04-01,25
2015-04-02,26
2015-04-03,26
2015-04-04,26
2015-04-05,26
2015-04-06,26
2015-04-07,26
2015-04-08,26
2015-04-09,26
2015-04-10,26
2015-04-11,26

